office,district,votefor,candidate,party,votes,type,winner
REPRESENTATIVE TO CONGRESS, ,1,LINDA JOY SULLIVAN, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,MORRISEY, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,LYNN RUSSELL, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,EDWIN ROYCE, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,BRUCE BUSA, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,BLANK, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,BOB NORRIS, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,JAMES EHLERS, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,, ,1,Registered,False
REPRESENTATIVE TO CONGRESS, ,1,JACK CLARK, ,0,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,SANDY EL HAGE, ,0,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,DAVID DURFEE, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,SCOTT COULTER, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,GIBBS, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,BOB WEIR, ,0,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,DAVID CAIN, ,0,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,KEVIN DONAHUE, ,0,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,MIKE BROW, ,0,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,TOM O'KEEFE, ,0,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,KEITH STERN, ,0,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,BLANK, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,RANDY BROCK, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,RANDY SWANN, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,TODD RUTTURA, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,BILL HUFF, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,JOHN FRIETAG, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,DAN FREILICH, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,SHELDON FOLEY, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,JIM DOUGLAS, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,DANIEL FRELICH, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,MIKE KELL, ,3,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,SUSAN SMITH, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,DANIEL FRELICH, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,DON TURNER, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,PHIL SCOTT, ,1,Write-in,False
REPRESENTATIVE TO CONGRESS, ,1,HAL COLSTON, ,4,Write-in,False
GOVERNOR, ,1,TREVOR BARLOW,INDEPENDENT,3259,Registered,False
GOVERNOR, ,1,CRIS ERICSON,INDEPENDENT,2123,Registered,False
GOVERNOR, ,1,CHRISTINE HALLQUIST,DEMOCRATIC,110306,Registered,False
GOVERNOR, ,1,CHARLES LARAMIE,INDEPENDENT,2285,Registered,False
GOVERNOR, ,1,STEPHEN MARX,EARTH RIGHTS,1850,Registered,False
GOVERNOR, ,1,"EMILY ""EM"" PEYTON",LIBERTY UNION,1835,Registered,False
GOVERNOR, ,1,PHIL SCOTT,REPUBLICAN,151212,Registered,False
GOVERNOR, ,1,BERNARD PETERS, ,1,Write-in,False
GOVERNOR, ,1,COKL, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,2,Write-in,False
GOVERNOR, ,1,JAMES E ALLEN, ,1,Write-in,False
GOVERNOR, ,1,KEVIN HEWES, ,1,Write-in,False
GOVERNOR, ,1,KEITH STEARNS, ,5,Write-in,False
GOVERNOR, ,1,PAUL PIKNA, ,1,Write-in,False
GOVERNOR, ,1,, ,0,Registered,False
GOVERNOR, ,1,JOHN ROGERS, ,0,Write-in,False
GOVERNOR, ,1,K. STERN, ,0,Write-in,False
GOVERNOR, ,1,ANDY AVERY, ,1,Write-in,False
GOVERNOR, ,1,ANTHONY WILLIAMS, ,1,Write-in,False
GOVERNOR, ,1,B. ROGERS, ,1,Write-in,False
GOVERNOR, ,1,DANIEL WILLENBURG, ,1,Write-in,False
GOVERNOR, ,1,DEBRA GABLE, ,1,Write-in,False
GOVERNOR, ,1,ED PATTERSON, ,1,Write-in,False
GOVERNOR, ,1,JAMES ELHERS, ,1,Write-in,False
GOVERNOR, ,1,JASON FLEURY, ,1,Write-in,False
GOVERNOR, ,1,JOHN ROGERS, ,3,Write-in,False
GOVERNOR, ,1,KEITH STERNS, ,7,Write-in,False
GOVERNOR, ,1,KEVIN CONTI, ,1,Write-in,False
GOVERNOR, ,1,KYLE FLEURY, ,1,Write-in,False
GOVERNOR, ,1,MIA DOLAN, ,1,Write-in,False
GOVERNOR, ,1,PAUL BEEDE, ,1,Write-in,False
GOVERNOR, ,1,RANDY BROCK, ,1,Write-in,False
GOVERNOR, ,1,TARL WARWICK, ,1,Write-in,False
GOVERNOR, ,1,JAMES EHLERS, ,1,Write-in,False
GOVERNOR, ,1,JOHN RODGERS, ,1,Write-in,False
GOVERNOR, ,1,THOMAS LOWELL, ,1,Write-in,False
GOVERNOR, ,1,ALAN EDWARDS, ,1,Write-in,False
GOVERNOR, ,1,ANDREW STEIN, ,2,Write-in,False
GOVERNOR, ,1,BRENDA EIGEL, ,1,Write-in,False
GOVERNOR, ,1,DAN BURKE, ,1,Write-in,False
GOVERNOR, ,1,DON TURNER, ,1,Write-in,False
GOVERNOR, ,1,JAMES EHLERS, ,4,Write-in,False
GOVERNOR, ,1,JIM DOUGLAS, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,4,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,4,Write-in,False
GOVERNOR, ,1,KEN STERN, ,1,Write-in,False
GOVERNOR, ,1,KIAH MORRIS, ,1,Write-in,False
GOVERNOR, ,1,MAX MISCH, ,1,Write-in,False
GOVERNOR, ,1,MICHAEL STERN, ,1,Write-in,False
GOVERNOR, ,1,MIKE STERN, ,1,Write-in,False
GOVERNOR, ,1,ROBERT WRIGHT, ,1,Write-in,False
GOVERNOR, ,1,MIKE ELLIS, ,1,Write-in,False
GOVERNOR, ,1,DON TURNER , ,2,Write-in,False
GOVERNOR, ,1,GARY BROWN, ,1,Write-in,False
GOVERNOR, ,1,KEITH STERN, ,2,Write-in,False
GOVERNOR, ,1,PHILLIP SNYDER, ,2,Write-in,False
GOVERNOR, ,1,CHARLIE BURBANK, ,1,Write-in,False
GOVERNOR, ,1,CHRIS BRADLEY, ,1,Write-in,False
GOVERNOR, ,1,DAVID ZUCKERMAN, ,1,Write-in,False
GOVERNOR, ,1,H BROOKE PAIGE, ,1,Write-in,False
GOVERNOR, ,1,JIM DOUGLAS, ,1,Write-in,False
GOVERNOR, ,1,KEITH STEIN, ,2,Write-in,False
GOVERNOR, ,1,PHIL SCOTT, ,2,Write-in,False
